,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22
0,0.77,1.78,2.09,0.70,0.80,1.72,2.24,1.04
1,10,8,6,3,4,6,5,5
2,0.76,1.70,2.09,0.63,0.71,1.67,2.19,0.97
3,0.53,1.67,2.15,0.98,0.73,1.76,2.19,1.07
4,-5%,5%,25%,44%,38%,5%,2%,9%
