,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22
0,-,0.13,-,1.06,-,0.42,-,1.13
1,,4,,3,,7,,3
2,-,0.13,0.63,1.03,0.50,0.34,1.29,1.13
3,0.37,0.01,0.83,1.06,0.75,0.44,1.15,1.05
4,48%,0%,261%,523%,102%,4332%,39%,-1%
