,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.28,-0.01,-0.14,0.29,0.31,0.15,0.21,0.15
1,7,5,5,4,6,4,3,5
2,0.28,0.16,-0.14,0.28,0.28,0.11,0.19,0.11
3,0.19,0.09,0.08,0.45,-0.01,0.45,0.15,0.08
4,-69%,-87%,-73%,29%,-105%,400%,87%,-82%
