,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-0.46,-0.60,-1.01,-0.87,-0.73,-0.52,-0.15,0.05
1,79,45,45,30,36,21,19,19
2,-0.57,-0.62,-1.05,-0.93,-0.71,-0.60,-0.24,-0.02
3,-0.41,-0.32,-0.86,-0.89,-0.58,-0.35,-0.06,0.05
4,61%,96%,-26%,-117%,-41%,-9%,93%,106%
