,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21
0,-,-,-,-0.01,-0.02,-0.07,-0.06,-
1,,,,9,7,7,3,
2,-,-,-,-0.03,-0.03,-0.03,-0.03,-0.03
3,0,-0.03,-0.38,-0.15,-0.13,-0.20,-0.01,-0.06
4,-100%,25%,-660%,-40%,-,-574%,97%,60%
