,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,0.45,0.42,0.54,0.56,0.33,0.53,0.46
1,,3,4,3,3,5,4,4
2,0.43,0.43,0.40,0.52,0.51,0.29,0.51,0.49
3,0.48,0.33,0.49,0.57,0.51,0.34,0.32,0.44
4,20%,-47%,14%,8%,6%,3%,-35%,-23%
