,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.16,0.12,0.16,0.27,0.27,0.22,-,-
1,8,6,8,6,3,4,,
2,0.15,0.10,0.15,0.25,0.25,0.20,0.24,0.32
3,0.18,0.16,0.25,0.32,0.26,0.22,0.30,0.35
4,-38%,33%,108%,146%,44%,38%,20%,9%
