,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,2.08,0.13,1.02,1.69,3.59,2.10,2.88,3.43
1,18,16,14,18,10,14,15,19
2,2.05,0.04,1.03,1.56,3.38,1.84,2.59,3.13
3,2.13,0.74,1.80,2.56,3.95,2.93,3.24,3.32
4,1%,-9%,107%,151%,85%,296%,80%,30%
