,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,-
1,,,,,,,,
2,-,-,-,-,-0.66,-0.74,-0.64,-0.72
3,-4.50,-1.03,-0.69,-0.69,-1.69,-3.35,-1.23,-0.42
4,-,64%,80%,79%,62%,-225%,-78%,39%
