,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22,FQ3 '22
0,1.10,-0.82,-0.50,0.11,0.66,0.04,0.73,0.58
1,7,9,9,4,7,4,4,4
2,1.12,-0.91,-0.58,0.05,0.57,-0.20,0.70,0.46
3,1.22,-1.81,-0.01,0.58,1.18,0.21,0.96,0.62
4,74%,-624%,-103%,164%,-3%,112%,9700%,7%
