,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,5.37,6.07,6.03,6.21,6.07,6.74,6.87,6.80
1,11,10,13,10,7,7,3,5
2,5.36,6.05,5.98,6.04,5.60,6.70,6.77,6.69
3,5.51,6.21,6.35,6.48,5.76,6.98,7.01,6.94
4,7%,4%,8%,17%,5%,12%,10%,7%
