,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.07,0.05,-0.02,0.01,0.10,0.13,-,-
1,5,5,6,4,3,3,,
2,0.05,0.04,-0.03,-0.02,0.06,0.10,0.03,0.02
3,0.06,0.04,0.07,0.11,0.14,0.15,0.11,0.05
4,-,500%,275%,83%,133%,275%,57%,-55%
