,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.92,0.66,0.44,0.93,1.36,1.36,1.07,1.01
1,24,26,26,25,17,21,19,22
2,0.95,0.59,0.42,0.91,1.35,1.27,1.02,0.94
3,0.95,0.65,0.57,0.98,1.45,1.32,1.17,1.40
4,17%,3%,-30%,17%,53%,103%,105%,43%
