,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21,FQ4 '21,FQ1 '22,FQ2 '22
0,0.15,0.05,0.11,0.07,-0.10,-0.40,-0.30,-0.11
1,23,21,18,13,9,7,9,7
2,0.12,0.03,0.03,0.01,-0.14,-0.46,-0.38,-0.13
3,0.09,0.14,0.15,-0.07,-0.14,-0.27,-0.25,-0.10
4,-53%,8%,-21%,-129%,-256%,-293%,-267%,-43%
