,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.75,0.41,0,0.30,-,0.64,-,0.68
1,6,4,5,3,,3,,3
2,0.75,0.39,-0.02,0.32,0.64,0.56,0.66,0.65
3,0.73,0.43,-0.18,0.67,0.87,0.72,0.71,0.68
4,26%,-12%,-127%,18%,19%,67%,494%,1%
