,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-0.68,-,-0.28,0.55,-,-,-,-
1,3,,4,4,,,,
2,-0.74,-0.80,-0.30,0.53,-0.59,-0.57,-0.22,0.18
3,-1.01,-0.67,-0.30,-0.10,-0.66,-0.39,0.02,0.72
4,-44%,29%,9%,-118%,35%,42%,107%,820%
