,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,0.05,0.06,0.07,0.09,0.11,0.10,0.09,0.07
1,52,47,37,33,36,35,26,34
2,0.06,0.05,0.08,0.09,0.09,0.09,0.09,0.07
3,0,-0.11,0.03,0.11,0.08,0.08,0.05,0.03
4,-,-253%,-54%,108%,-,175%,77%,-68%
