,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,2.92,2.72,1.34,3.19,7.24,3.92,4.06,4.64
1,26,19,16,14,9,12,10,4
2,3.09,2.88,1.05,3.07,7.53,3.54,3.73,3.95
3,2.36,3.19,2.13,4.08,7.97,4.42,4.51,3.90
4,-33%,177%,50%,3238%,238%,39%,112%,-4%
