,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,0.13,0.12,0.07,0.09,0.02
1,,,,3,4,4,3,3
2,-,-,-,0.14,0.10,0.05,0.08,-0.02
3,0,0.04,-0.10,0.12,0.11,0.01,0.06,-0.07
4,100%,500%,-400%,100%,-,-75%,160%,-158%
