,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-
1,,,,,,,
2,-,-,-,-,-,-,-
3,-0.16,-0.02,0.03,-0.90,0.03,0.09,0.12
4,-,-,-,-,119%,550%,300%
