,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-
1,,,,,,,
2,-,-,-,-,-,-,-
3,-5.62,-5.59,-10.64,-8.03,-7.73,-4.24,-0.42
4,-,-,-,-,-38%,24%,96%
