,FQ4 '19,FQ1 '20,FQ2 '20,FQ3 '20,FQ4 '20,FQ1 '21,FQ2 '21,FQ3 '21
0,-,-,-,-,-,-,-,-
1,,,,,,,,
2,-,-,0.48,0.89,0.51,0.81,0.62,0.92
3,0.48,0.75,0.53,0.88,0.44,0.97,0.63,0.97
4,2%,9%,18%,0%,-8%,29%,19%,10%
